rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
---;[---];Department of Finance, Questrom School of Business, Boston UniversityBoston, Massachusetts (USA);http://edirc.repec.org/data/fedbuus.html;Department of Finance, Questrom School of Business, Boston University;24.23;6;5.99;http://ideas.repec.org/top/top.usa-ma.html;
19;[19];Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA);http://edirc.repec.org/data/deumaus.html;Department of Economics, University of Massachusetts-Amherst;24.6;19;15.62;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Negotiations, Organizations and Markets Unit, Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/noharus.html;Negotiations, Organizations and Markets Unit, Harvard Business School, Harvard University;24.98;2;0.84;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Harvard Institute of Economic Research (HIER), Department of Economics, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/ieharus.html;Harvard Institute of Economic Research (HIER), Department of Economics, Harvard University;26.46;1;0.32;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/cbharus.html;Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University;26.78;4;1.55;http://ideas.repec.org/top/top.usa-ma.html;
---;[---];Harvard Institute for International Development (HIID), Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA);http://edirc.repec.org/data/iiharus.html;Harvard Institute for International Development (HIID), Kennedy School of Government, Harvard University;27.27;3;1.65;http://ideas.repec.org/top/top.usa-ma.html;
20;[21];Economics Department, Clark UniversityWorcester, Massachusetts (USA);http://edirc.repec.org/data/declaus.html;Economics Department, Clark University;27.44;9;8.97;http://ideas.repec.org/top/top.usa-ma.html;
21;[20];Department of Urban Studies and Planning, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA);http://edirc.repec.org/data/dumitus.html;Department of Urban Studies and Planning, Massachusetts Institute of Technology (MIT);27.92;5;2.95;http://ideas.repec.org/top/top.usa-ma.html;
22;[22];Fletcher School of Law and Diplomacy, Tufts UniversityMedford, Massachusetts (USA);http://edirc.repec.org/data/fstufus.html;Fletcher School of Law and Diplomacy, Tufts University;29.55;2;2;http://ideas.repec.org/top/top.usa-ma.html;
23;[23];Department of Resource Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA);http://edirc.repec.org/data/drumaus.html;Department of Resource Economics, University of Massachusetts-Amherst;30.74;7;6.1;http://ideas.repec.org/top/top.usa-ma.html;
1;[1];London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/lsepsuk.html;London School of Economics (LSE);0.93;300;202.45;http://ideas.repec.org/top/top.uk.html;
2;[2];Department of Economics, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/sfeixuk.html;Department of Economics, Oxford University;1.92;170;121.98;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Department, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/edlseuk.html;Economics Department, London School of Economics (LSE);3.69;60;42.3;http://ideas.repec.org/top/top.uk.html;
3;[3];Centre for Economic Policy Research (CEPR)London, United Kingdom;http://edirc.repec.org/data/cebruuk.html;Centre for Economic Policy Research (CEPR);3.81;305;33.47;http://ideas.repec.org/top/top.uk.html;
4;[4];Department of Economics, University College London (UCL)London, United Kingdom;http://edirc.repec.org/data/deucluk.html;Department of Economics, University College London (UCL);4.72;75;56.88;http://ideas.repec.org/top/top.uk.html;
5;[5];Department of Economics, University of WarwickCoventry, United Kingdom;http://edirc.repec.org/data/dewaruk.html;Department of Economics, University of Warwick;6.07;75;60.08;http://ideas.repec.org/top/top.uk.html;
6;[6];Faculty of Economics, University of CambridgeCambridge, United Kingdom;http://edirc.repec.org/data/fecamuk.html;Faculty of Economics, University of Cambridge;7.43;71;57.43;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Economic Performance (CEP), London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/celseuk.html;Centre for Economic Performance (CEP), London School of Economics (LSE);7.47;73;26.17;http://ideas.repec.org/top/top.uk.html;
7;[7];Department of Economics and Related Studies, University of YorkYork, United Kingdom;http://edirc.repec.org/data/deyoruk.html;Department of Economics and Related Studies, University of York;8.4;85;78.77;http://ideas.repec.org/top/top.uk.html;
8;[8];School of Economics, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/denotuk.html;School of Economics, University of Nottingham;9.14;90;59.92;http://ideas.repec.org/top/top.uk.html;
9;[9];Bank of EnglandLondon, United Kingdom;http://edirc.repec.org/data/boegvuk.html;Bank of England;11.84;182;164.49;http://ideas.repec.org/top/top.uk.html;
10;[10];London Business School (LBS)London, United Kingdom;http://edirc.repec.org/data/lobusuk.html;London Business School (LBS);12.08;32;28.11;http://ideas.repec.org/top/top.uk.html;
11;[11];School of Business, Management and Economics, University of SussexBrighton, United Kingdom;http://edirc.repec.org/data/sbsusuk.html;School of Business, Management and Economics, University of Sussex;14.91;85;70.95;http://ideas.repec.org/top/top.uk.html;
12;[12];School of Economics, Finance and Management, University of BristolBristol, United Kingdom;http://edirc.repec.org/data/debriuk.html;School of Economics, Finance and Management, University of Bristol;15.67;54;41.68;http://ideas.repec.org/top/top.uk.html;
13;[13];Institute for Fiscal Studies (IFS)London, United Kingdom;http://edirc.repec.org/data/ifsssuk.html;Institute for Fiscal Studies (IFS);16.19;70;28.19;http://ideas.repec.org/top/top.uk.html;
14;[14];Cass Business School, City UniversityLondon, United Kingdom;http://edirc.repec.org/data/bscituk.html;Cass Business School, City University;16.22;39;33.84;http://ideas.repec.org/top/top.uk.html;
15;[15];Economics Department, University of EssexColchester, United Kingdom;http://edirc.repec.org/data/edessuk.html;Economics Department, University of Essex;17.32;46;42.58;http://ideas.repec.org/top/top.uk.html;
16;[16];School of Economics, University of EdinburghEdinburgh, United Kingdom;http://edirc.repec.org/data/deediuk.html;School of Economics, University of Edinburgh;18.84;36;33.79;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Group, Nuffield College, Department of Economics, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/egpoxuk.html;Economics Group, Nuffield College, Department of Economics, Oxford University;20.52;25;11.48;http://ideas.repec.org/top/top.uk.html;
17;[19];Saïd Business School, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/sbsoxuk.html;Saïd Business School, Oxford University;21.56;31;17.07;http://ideas.repec.org/top/top.uk.html;
18;[17];School of Economics and Finance, Queen Mary University of LondonLondon, United Kingdom;http://edirc.repec.org/data/deqmwuk.html;School of Economics and Finance, Queen Mary University of London;21.68;39;33.48;http://ideas.repec.org/top/top.uk.html;
19;[18];School of Economics, University of ManchesterManchester, United Kingdom;http://edirc.repec.org/data/semanuk.html;School of Economics, University of Manchester;21.96;49;42.96;http://ideas.repec.org/top/top.uk.html;
20;[20];Warwick Business School, University of WarwickCoventry, United Kingdom;http://edirc.repec.org/data/wbswauk.html;Warwick Business School, University of Warwick;23.03;28;27.35;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, School of Business, Management and Economics, University of SussexBrighton, United Kingdom;http://edirc.repec.org/data/ecsusuk.html;Department of Economics, School of Business, Management and Economics, University of Sussex;24.22;57;47.93;http://ideas.repec.org/top/top.uk.html;
21;[21];Adam Smith Business School, University of GlasgowGlasgow, United Kingdom;http://edirc.repec.org/data/bsglauk.html;Adam Smith Business School, University of Glasgow;24.34;53;46.05;http://ideas.repec.org/top/top.uk.html;
22;[22];Management School, Lancaster UniversityLancaster, United Kingdom;http://edirc.repec.org/data/mslanuk.html;Management School, Lancaster University;24.42;58;53.09;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, Adam Smith Business School, University of GlasgowGlasgow, United Kingdom;http://edirc.repec.org/data/dpglauk.html;Department of Economics, Adam Smith Business School, University of Glasgow;24.94;45;38.85;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, London Business School (LBS)London, United Kingdom;http://edirc.repec.org/data/delbsuk.html;Department of Economics, London Business School (LBS);25.16;12;10.11;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Geography and Environment, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/dglseuk.html;Department of Geography and Environment, London School of Economics (LSE);26.36;26;18.59;http://ideas.repec.org/top/top.uk.html;
23;[23];Department of Economics, University of BirminghamBirmingham, United Kingdom;http://edirc.repec.org/data/debhauk.html;Department of Economics, University of Birmingham;26.37;35;32.46;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, Management School, Lancaster UniversityLancaster, United Kingdom;http://edirc.repec.org/data/delanuk.html;Department of Economics, Management School, Lancaster University;28.53;44;42.8;http://ideas.repec.org/top/top.uk.html;
24;[24];Business School, Imperial CollegeLondon, United Kingdom;http://edirc.repec.org/data/sbimpuk.html;Business School, Imperial College;29.67;37;31.47;http://ideas.repec.org/top/top.uk.html;
25;[26];Department of Economics, Royal HollowayEgham, United Kingdom;http://edirc.repec.org/data/derhbuk.html;Department of Economics, Royal Holloway;31.39;29;22.45;http://ideas.repec.org/top/top.uk.html;
26;[25];School of Economics, University of KentCanterbury, United Kingdom;http://edirc.repec.org/data/deukcuk.html;School of Economics, University of Kent;31.59;46;41.43;http://ideas.repec.org/top/top.uk.html;
27;[27];Department of International Development (Queen Elizabeth House), Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/qehoxuk.html;Department of International Development (Queen Elizabeth House), Oxford University;33.01;20;13.04;http://ideas.repec.org/top/top.uk.html;
28;[28];School of Economics, University of SurreyGuildford, United Kingdom;http://edirc.repec.org/data/desuruk.html;School of Economics, University of Surrey;33.45;47;39.97;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for the Study of African Economies (CSAE), Department of Economics, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/csaoxuk.html;Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University;34.84;29;12.8;http://ideas.repec.org/top/top.uk.html;
29;[29];Cardiff Business School, Cardiff UniversityCardiff, United Kingdom;http://edirc.repec.org/data/cbscfuk.html;Cardiff Business School, Cardiff University;35.31;52;48.13;http://ideas.repec.org/top/top.uk.html;
30;[31];Economics Division, University of SouthamptonSouthampton, United Kingdom;http://edirc.repec.org/data/desotuk.html;Economics Division, University of Southampton;36.8;35;31.47;http://ideas.repec.org/top/top.uk.html;
31;[30];Economics Department, University of StrathclydeGlasgow, United Kingdom;http://edirc.repec.org/data/edstruk.html;Economics Department, University of Strathclyde;37.69;32;30.45;http://ideas.repec.org/top/top.uk.html;
32;[32];Department of Economics, Leicester UniversityLeicester, United Kingdom;http://edirc.repec.org/data/deleiuk.html;Department of Economics, Leicester University;38.81;33;30.45;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/cdnotuk.html;Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham;39.09;23;13.25;http://ideas.repec.org/top/top.uk.html;
33;[33];Department of Economics, University of SheffieldSheffield, United Kingdom;http://edirc.repec.org/data/desheuk.html;Department of Economics, University of Sheffield;39.33;40;35.89;http://ideas.repec.org/top/top.uk.html;
---;[---];Finance Department, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/fdlseuk.html;Finance Department, London School of Economics (LSE);40.7;9;5.91;http://ideas.repec.org/top/top.uk.html;
34;[35];Business School, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/smnotuk.html;Business School, University of Nottingham;41.87;24;22.15;http://ideas.repec.org/top/top.uk.html;
35;[34];Department of Economics, Mathematics and Statistics, Birkbeck CollegeLondon, United Kingdom;http://edirc.repec.org/data/debbkuk.html;Department of Economics, Mathematics and Statistics, Birkbeck College;42.27;23;19.73;http://ideas.repec.org/top/top.uk.html;
36;[36];School of Economics, University of East AngliaNorwich, United Kingdom;http://edirc.repec.org/data/esueauk.html;School of Economics, University of East Anglia;43.6;31;25.67;http://ideas.repec.org/top/top.uk.html;
---;[---];ESRC Centre for the Microeconomic Analysis of Public Policy (CPP), Institute for Fiscal Studies (IFS)London, United Kingdom;http://edirc.repec.org/data/cfifsuk.html;ESRC Centre for the Microeconomic Analysis of Public Policy (CPP), Institute for Fiscal Studies (IFS);45.14;39;16.82;http://ideas.repec.org/top/top.uk.html;
37;[37];Business School, University of ExeterExeter, United Kingdom;http://edirc.repec.org/data/deexeuk.html;Business School, University of Exeter;49.02;36;32.5;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Business Taxation, Saïd Business School, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/cbtoxuk.html;Centre for Business Taxation, Saïd Business School, Oxford University;50.7;11;3.68;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Section, Cardiff Business School, Cardiff UniversityCardiff, United Kingdom;http://edirc.repec.org/data/ecscfuk.html;Economics Section, Cardiff Business School, Cardiff University;50.8;38;34.54;http://ideas.repec.org/top/top.uk.html;
38;[38];Essex Business School, University of EssexColchester, United Kingdom;http://edirc.repec.org/data/daessuk.html;Essex Business School, University of Essex;50.98;26;25.33;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Management, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/dmlseuk.html;Department of Management, London School of Economics (LSE);51.4;12;9.98;http://ideas.repec.org/top/top.uk.html;
---;[---];Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/oxcaruk.html;Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University;51.53;15;3.77;http://ideas.repec.org/top/top.uk.html;
39;[39];Henley Business School, University of ReadingReading, United Kingdom;http://edirc.repec.org/data/bsrdguk.html;Henley Business School, University of Reading;51.84;29;26.97;http://ideas.repec.org/top/top.uk.html;
40;[40];Bangor Business School, Bangor UniversityBangor, United Kingdom;http://edirc.repec.org/data/sabanuk.html;Bangor Business School, Bangor University;52;34;31.22;http://ideas.repec.org/top/top.uk.html;
41;[42];Business School, Durham UniversityDurham, United Kingdom;http://edirc.repec.org/data/bsduruk.html;Business School, Durham University;52.74;36;32.27;http://ideas.repec.org/top/top.uk.html;
42;[41];Institute for Social and Economic Research (ISER), University of EssexColchester, United Kingdom;http://edirc.repec.org/data/isessuk.html;Institute for Social and Economic Research (ISER), University of Essex;53.87;38;28.29;http://ideas.repec.org/top/top.uk.html;
43;[44];Department of Economics and Finance, Brunel UniversityUxbridge, United Kingdom;http://edirc.repec.org/data/debruuk.html;Department of Economics and Finance, Brunel University;54.96;18;15.24;http://ideas.repec.org/top/top.uk.html;
---;[---];Nottingham Centre for Research on Globalisation and Economic Policy, School of Economics, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/cgnotuk.html;Nottingham Centre for Research on Globalisation and Economic Policy, School of Economics, University of Nottingham;55.11;29;10.09;http://ideas.repec.org/top/top.uk.html;
44;[43];Judge Business School, University of CambridgeCambridge, United Kingdom;http://edirc.repec.org/data/jicamuk.html;Judge Business School, University of Cambridge;55.37;29;22.89;http://ideas.repec.org/top/top.uk.html;
45;[46];School of Economics and Finance, University of St. AndrewsFife, United Kingdom;http://edirc.repec.org/data/destauk.html;School of Economics and Finance, University of St. Andrews;61.77;22;18.7;http://ideas.repec.org/top/top.uk.html;
46;[45];National Institute of Economic and Social Research (NIESR)London, United Kingdom;http://edirc.repec.org/data/niesruk.html;National Institute of Economic and Social Research (NIESR);62.31;33;22.72;http://ideas.repec.org/top/top.uk.html;
47;[47];School of Management and Languages, Heriot-Watt UniversityEdinburgh, United Kingdom;http://edirc.repec.org/data/smlhwuk.html;School of Management and Languages, Heriot-Watt University;62.89;20;17.78;http://ideas.repec.org/top/top.uk.html;
48;[48];Department of Land Economy, University of CambridgeCambridge, United Kingdom;http://edirc.repec.org/data/dlcamuk.html;Department of Land Economy, University of Cambridge;63.24;20;16.45;http://ideas.repec.org/top/top.uk.html;
49;[50];Department of Economics, University of BathBath, United Kingdom;http://edirc.repec.org/data/debatuk.html;Department of Economics, University of Bath;63.51;24;22.48;http://ideas.repec.org/top/top.uk.html;
50;[49];Centre for Research and Analysis of Migration (CReAM), University College London (UCL)London, United Kingdom;http://edirc.repec.org/data/cmucluk.html;Centre for Research and Analysis of Migration (CReAM), University College London (UCL);64.4;34;7.35;http://ideas.repec.org/top/top.uk.html;
---;[---];Faculty of Finance, Cass Business School, City UniversityLondon, United Kingdom;http://edirc.repec.org/data/ffcituk.html;Faculty of Finance, Cass Business School, City University;65.78;13;12.35;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Accountancy, Economics and Finance, School of Management and Languages, Heriot-Watt UniversityEdinburgh, United Kingdom;http://edirc.repec.org/data/dehwuuk.html;Department of Accountancy, Economics and Finance, School of Management and Languages, Heriot-Watt University;68.53;17;14.95;http://ideas.repec.org/top/top.uk.html;
---;[---];Financial Markets Group (FMG), London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/fmlseuk.html;Financial Markets Group (FMG), London School of Economics (LSE);68.98;16;8.62;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Health Economics, Department of Economics and Related Studies, University of YorkYork, United Kingdom;http://edirc.repec.org/data/chyoruk.html;Centre for Health Economics, Department of Economics and Related Studies, University of York;70.89;22;19.46;http://ideas.repec.org/top/top.uk.html;
51;[51];Stirling Management School, University of StirlingStirling, United Kingdom;http://edirc.repec.org/data/imstiuk.html;Stirling Management School, University of Stirling;71.26;24;19.82;http://ideas.repec.org/top/top.uk.html;
---;[---];European Institute, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/eilseuk.html;European Institute, London School of Economics (LSE);71.95;12;7.61;http://ideas.repec.org/top/top.uk.html;
---;[---];Science and Technology Policy Research (SPRU), School of Business, Management and Economics, University of SussexBrighton, United Kingdom;http://edirc.repec.org/data/spessuk.html;Science and Technology Policy Research (SPRU), School of Business, Management and Economics, University of Sussex;72.21;19;15.12;http://ideas.repec.org/top/top.uk.html;
---;[---];ICMA Centre for Financial Markets, Henley Business School, University of ReadingReading, United Kingdom;http://edirc.repec.org/data/isrdguk.html;ICMA Centre for Financial Markets, Henley Business School, University of Reading;72.45;12;11.5;http://ideas.repec.org/top/top.uk.html;
52;[52];School of Business and Economics, Loughborough UniversityLoughborough, United Kingdom;http://edirc.repec.org/data/delbouk.html;School of Business and Economics, Loughborough University;73.11;28;27.95;http://ideas.repec.org/top/top.uk.html;
53;[54];Business School, Newcastle UniversityNewcastle upon Tyne, United Kingdom;http://edirc.repec.org/data/bsncluk.html;Business School, Newcastle University;73.54;25;21.79;http://ideas.repec.org/top/top.uk.html;
54;[53];Department of Political Economy, King's CollegeLondon, United Kingdom;http://edirc.repec.org/data/dekcluk.html;Department of Political Economy, King's College;73.61;23;21.93;http://ideas.repec.org/top/top.uk.html;
---;[---];Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD), London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/stlseuk.html;Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD), London School of Economics (LSE);73.72;15;3.91;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Division, Stirling Management School, University of StirlingStirling, United Kingdom;http://edirc.repec.org/data/destiuk.html;Economics Division, Stirling Management School, University of Stirling;74.26;22;18.33;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Market and Public Organisation (CMPO), School of Economics, Finance and Management, University of BristolBristol, United Kingdom;http://edirc.repec.org/data/cmbriuk.html;Centre for Market and Public Organisation (CMPO), School of Economics, Finance and Management, University of Bristol;74.7;17;6.53;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics and Finance, Business School, Durham UniversityDurham, United Kingdom;http://edirc.repec.org/data/deduruk.html;Department of Economics and Finance, Business School, Durham University;76.24;24;20.7;http://ideas.repec.org/top/top.uk.html;
55;[55];Department of Economics, City UniversityLondon, United Kingdom;http://edirc.repec.org/data/decituk.html;Department of Economics, City University;77.77;23;16.14;http://ideas.repec.org/top/top.uk.html;
56;[58];European Bank for Reconstruction and Development (EBRD)London, United Kingdom;http://edirc.repec.org/data/ebrdduk.html;European Bank for Reconstruction and Development (EBRD);78.53;12;10.83;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Subject Group, Business School, Newcastle UniversityNewcastle upon Tyne, United Kingdom;http://edirc.repec.org/data/dencluk.html;Economics Subject Group, Business School, Newcastle University;78.57;16;14.88;http://ideas.repec.org/top/top.uk.html;
57;[57];Management School, Queen's UniversityBelfast, United Kingdom;http://edirc.repec.org/data/dequbuk.html;Management School, Queen's University;78.69;23;20.51;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Social Policy, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/splseuk.html;Department of Social Policy, London School of Economics (LSE);80.39;9;6.99;http://ideas.repec.org/top/top.uk.html;
58;[56];Management School, University of LiverpoolLiverpool, United Kingdom;http://edirc.repec.org/data/mslivuk.html;Management School, University of Liverpool;82.04;26;20.24;http://ideas.repec.org/top/top.uk.html;
59;[60];Alliance Manchester Business School, University of ManchesterManchester, United Kingdom;http://edirc.repec.org/data/bsmanuk.html;Alliance Manchester Business School, University of Manchester;83.01;28;24.07;http://ideas.repec.org/top/top.uk.html;
60;[59];School of Business and Management, Queen Mary University of LondonLondon, United Kingdom;http://edirc.repec.org/data/cbqmwuk.html;School of Business and Management, Queen Mary University of London;83.96;16;11.89;http://ideas.repec.org/top/top.uk.html;
61;[61];Institute of Development Studies, University of SussexBrighton, United Kingdom;http://edirc.repec.org/data/idsusuk.html;Institute of Development Studies, University of Sussex;86.25;18;13.61;http://ideas.repec.org/top/top.uk.html;
---;[---];Oxford Poverty and Human Development Initiative (OPHI), Department of International Development (Queen Elizabeth House), Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/ophoxuk.html;Oxford Poverty and Human Development Initiative (OPHI), Department of International Development (Queen Elizabeth House), Oxford University;86.91;5;1.78;http://ideas.repec.org/top/top.uk.html;
---;[---];Finance Group, Warwick Business School, University of WarwickCoventry, United Kingdom;http://edirc.repec.org/data/afwbsuk.html;Finance Group, Warwick Business School, University of Warwick;88.4;12;10.57;http://ideas.repec.org/top/top.uk.html;
