rank;rank_w;name1;name2;name3;name4;name5;score;from_url;name6;name7
14;[25];Edward Ludwig Glaeser Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pgl9.html;Edward Ludwig Glaeser;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);16.51;http://ideas.repec.org/top/top.usa-ma.html;Department of Economics, Harvard University;;
15;[24];Lawrence F. Katz National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/f/pka266.html;Lawrence F. Katz;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;17.37;http://ideas.repec.org/top/top.usa-ma.html;;;
16;[23];Dani Rodrik Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/e/pro60.html;Dani  Rodrik;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);17.97;http://ideas.repec.org/top/top.usa-ma.html;;;
17;[28];James Poterba National Bureau of Economic Research (NBER), CambridgeEconomics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/ppo19.html;James  Poterba;National Bureau of Economic Research (NBER);Economics Department, Massachusetts Institute of Technology (MIT);18.03;http://ideas.repec.org/top/top.usa-ma.html;;;
18;[22];Christopher F Baum Department of Economics, Boston College, Chestnut Hill;/e/pba1.html;Christopher F Baum;Department of Economics, Boston College;;18.38;http://ideas.repec.org/top/top.usa-ma.html;;;
19;[31];Whitney Newey Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/f/pne241.html;Whitney  Newey;Economics Department, Massachusetts Institute of Technology (MIT);;19.16;http://ideas.repec.org/top/top.usa-ma.html;;;
20;[33];Jerry A. Hausman Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/f/pha893.html;Jerry A. Hausman;Economics Department, Massachusetts Institute of Technology (MIT);;19.4;http://ideas.repec.org/top/top.usa-ma.html;;;
21;[36];Drew Fudenberg Department of Economics, Harvard University, Cambridge;/e/pfu49.html;Drew  Fudenberg;Department of Economics, Harvard University;;21.3;http://ideas.repec.org/top/top.usa-ma.html;;;
22;[37];Peter A. Diamond Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pdi24.html;Peter A. Diamond;Economics Department, Massachusetts Institute of Technology (MIT);;21.65;http://ideas.repec.org/top/top.usa-ma.html;;;
23;[39];Robert C. Merton Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/f/pme203.html;Robert C. Merton;Sloan School of Management, Massachusetts Institute of Technology (MIT);;22.25;http://ideas.repec.org/top/top.usa-ma.html;;;
24;[48];Pierre Perron Department of Economics, Boston University, Boston;/e/ppe32.html;Pierre  Perron;Department of Economics, Boston University;;23.12;http://ideas.repec.org/top/top.usa-ma.html;;;
25;[45];Jeremy C. Stein National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pst43.html;Jeremy C. Stein;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;24.39;http://ideas.repec.org/top/top.usa-ma.html;;;
26;[47];Ricardo J. Caballero National Bureau of Economic Research (NBER), CambridgeEconomics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pca44.html;Ricardo J. Caballero;National Bureau of Economic Research (NBER);Economics Department, Massachusetts Institute of Technology (MIT);25.14;http://ideas.repec.org/top/top.usa-ma.html;;;
27;[44];Robert G. King Department of Economics, Boston University, Boston;/e/pki21.html;Robert G. King;Department of Economics, Boston University;;25.6;http://ideas.repec.org/top/top.usa-ma.html;;;
28;[52];George Borjas Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/e/pbo44.html;George  Borjas;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);28.11;http://ideas.repec.org/top/top.usa-ma.html;;;
29;[60];Esther Duflo Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pdu166.html;Esther  Duflo;Economics Department, Massachusetts Institute of Technology (MIT);;28.74;http://ideas.repec.org/top/top.usa-ma.html;;;
30;[54];Martin L. Weitzman Department of Economics, Harvard University, Cambridge;/e/pwe175.html;Martin L. Weitzman;Department of Economics, Harvard University;;28.94;http://ideas.repec.org/top/top.usa-ma.html;;;
31;[58];Oliver D. Hart National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/f/pha222.html;Oliver D. Hart;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;29.4;http://ideas.repec.org/top/top.usa-ma.html;;;
32;[62];David Autor National Bureau of Economic Research (NBER), CambridgeEconomics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pau9.html;David  Autor;National Bureau of Economic Research (NBER);Economics Department, Massachusetts Institute of Technology (MIT);29.55;http://ideas.repec.org/top/top.usa-ma.html;;;
33;[18];Alberto Alesina Department of Economics, Harvard University, Cambridge;/f/pal207.html;Alberto  Alesina;Department of Economics, Harvard University;;30.9;http://ideas.repec.org/top/top.usa-ma.html;;;
34;[7];David E. Card National Bureau of Economic Research (NBER), Cambridge;/f/pca271.html;David E. Card;National Bureau of Economic Research (NBER);;32.83;http://ideas.repec.org/top/top.usa-ma.html;;;
35;[70];James E. Anderson National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Boston College, Chestnut Hill;/e/pan2.html;James E. Anderson;National Bureau of Economic Research (NBER);Department of Economics, Boston College;33.08;http://ideas.repec.org/top/top.usa-ma.html;;;
36;[30];Richard B. Freeman Harvard Institute of Economic Research (HIER), Department of Economics, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/e/pfr23.html;Richard B. Freeman;Harvard Institute of Economic Research (HIER), Department of Economics, Harvard University;National Bureau of Economic Research (NBER);35.59;http://ideas.repec.org/top/top.usa-ma.html;;;
37;[68];David Isaac Laibson National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pla164.html;David Isaac Laibson;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;35.74;http://ideas.repec.org/top/top.usa-ma.html;;;
38;[74];Larry G. Epstein Department of Economics, Boston University, Boston;/e/pep2.html;Larry G. Epstein;Department of Economics, Boston University;;36.01;http://ideas.repec.org/top/top.usa-ma.html;;;
39;[64];Marc J. Melitz Department of Economics, Harvard University, Cambridge;/f/pme260.html;Marc J. Melitz;Department of Economics, Harvard University;;36.45;http://ideas.repec.org/top/top.usa-ma.html;;;
40;[71];Ariel Pakes National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/ppa20.html;Ariel  Pakes;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;37.14;http://ideas.repec.org/top/top.usa-ma.html;;;
41;[96];Richard J. Zeckhauser National Bureau of Economic Research (NBER), CambridgeMossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University, Cambridge;/e/pze7.html;Richard J. Zeckhauser;National Bureau of Economic Research (NBER);Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard University;38.56;http://ideas.repec.org/top/top.usa-ma.html;;;
42;[90];Claudia Goldin Department of Economics, Harvard University, Cambridge;/f/pgo601.html;Claudia  Goldin;Department of Economics, Harvard University;;40.07;http://ideas.repec.org/top/top.usa-ma.html;;;
43;[81];Sendhil Mullainathan National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pmu103.html;Sendhil  Mullainathan;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;40.29;http://ideas.repec.org/top/top.usa-ma.html;;;
44;[83];Bengt Holmstrom Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/f/pho488.html;Bengt  Holmstrom;Economics Department, Massachusetts Institute of Technology (MIT);;40.98;http://ideas.repec.org/top/top.usa-ma.html;;;
45;[95];Robert S. Pindyck Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/ppi130.html;Robert S. Pindyck;Sloan School of Management, Massachusetts Institute of Technology (MIT);;41.37;http://ideas.repec.org/top/top.usa-ma.html;;;
46;[34];Michael C. Jensen National Bureau of Economic Research (NBER), CambridgeNegotiations, Organizations and Markets Unit, Harvard Business School, Harvard University, Cambridge;/e/pje57.html;Michael C. Jensen;National Bureau of Economic Research (NBER);Negotiations, Organizations and Markets Unit, Harvard Business School, Harvard University;41.75;http://ideas.repec.org/top/top.usa-ma.html;;;
47;[77];Laurence J. Kotlikoff Department of Economics, Boston University, Boston;/e/pko44.html;Laurence J. Kotlikoff;Department of Economics, Boston University;;42.46;http://ideas.repec.org/top/top.usa-ma.html;;;
48;[100];Josh Lerner National Bureau of Economic Research (NBER), CambridgeHarvard Business School, Harvard University, Cambridge;/e/ple60.html;Josh  Lerner;National Bureau of Economic Research (NBER);Harvard Business School, Harvard University;42.47;http://ideas.repec.org/top/top.usa-ma.html;;;
49;[104];Robert M. Solow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pso18.html;Robert M. Solow;Economics Department, Massachusetts Institute of Technology (MIT);;43.89;http://ideas.repec.org/top/top.usa-ma.html;;;
50;[78];Xavier Gabaix Department of Economics, Harvard University, Cambridge;/e/pga174.html;Xavier  Gabaix;Department of Economics, Harvard University;;43.89;http://ideas.repec.org/top/top.usa-ma.html;;;
51;[99];Jonathan Gruber National Bureau of Economic Research (NBER), CambridgeEconomics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pgr20.html;Jonathan  Gruber;National Bureau of Economic Research (NBER);Economics Department, Massachusetts Institute of Technology (MIT);50.27;http://ideas.repec.org/top/top.usa-ma.html;;;
52;[116];Athanasios Orphanides Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/por35.html;Athanasios  Orphanides;Sloan School of Management, Massachusetts Institute of Technology (MIT);;51.18;http://ideas.repec.org/top/top.usa-ma.html;;;
53;[124];Richard Schmalensee Economics Department, Massachusetts Institute of Technology (MIT), CambridgeCenter for Energy and Environmental Policy Research (CEEPR), Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/f/psc313.html;Richard  Schmalensee;Economics Department, Massachusetts Institute of Technology (MIT);Center for Energy and Environmental Policy Research (CEEPR), Sloan School of Management, Massachusetts Institute of Technology (MIT);51.28;http://ideas.repec.org/top/top.usa-ma.html;;;
54;[126];Dilip Mookherjee Institute for Economic Development, Department of Economics, Boston University, Boston;/e/pmo51.html;Dilip  Mookherjee;Institute for Economic Development, Department of Economics, Boston University;;52.89;http://ideas.repec.org/top/top.usa-ma.html;;;
55;[122];David M. Cutler Harvard Institute for International Development (HIID), Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pcu64.html;David M. Cutler;Harvard Institute for International Development (HIID), Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);54.05;http://ideas.repec.org/top/top.usa-ma.html;Department of Economics, Harvard University;;
56;[125];Andrew W. Lo Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/plo171.html;Andrew W. Lo;Sloan School of Management, Massachusetts Institute of Technology (MIT);;54.31;http://ideas.repec.org/top/top.usa-ma.html;;;
57;[128];Amartya Sen Department of Global Health and Population, Harvard School of Public Health, Harvard University, CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pse23.html;Amartya  Sen;Department of Global Health and Population, Harvard School of Public Health, Harvard University;Department of Economics, Harvard University;56.2;http://ideas.repec.org/top/top.usa-ma.html;;;
58;[141];Arthur Lewbel Department of Economics, Boston College, Chestnut Hill;/e/ple43.html;Arthur  Lewbel;Department of Economics, Boston College;;57.59;http://ideas.repec.org/top/top.usa-ma.html;;;
59;[55];William Easterly National Bureau of Economic Research (NBER), Cambridge;/e/pea1.html;William  Easterly;National Bureau of Economic Research (NBER);;59.92;http://ideas.repec.org/top/top.usa-ma.html;;;
60;[137];David Wise Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/e/pwi45.html;David  Wise;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);60.65;http://ideas.repec.org/top/top.usa-ma.html;;;
61;[133];Simon Gilchrist Department of Economics, Boston University, Boston;/e/pgi28.html;Simon  Gilchrist;Department of Economics, Boston University;;61.74;http://ideas.repec.org/top/top.usa-ma.html;;;
62;[76];Simon Johnson National Bureau of Economic Research (NBER), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/pjo44.html;Simon  Johnson;National Bureau of Economic Research (NBER);Sloan School of Management, Massachusetts Institute of Technology (MIT);62.99;http://ideas.repec.org/top/top.usa-ma.html;;;
63;[161];Lant Pritchett Kennedy School of Government, Harvard University, Cambridge;/e/ppr27.html;Lant  Pritchett;Kennedy School of Government, Harvard University;;63.09;http://ideas.repec.org/top/top.usa-ma.html;;;
64;[139];Glenn Ellison Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pel10.html;Glenn  Ellison;Economics Department, Massachusetts Institute of Technology (MIT);;65.66;http://ideas.repec.org/top/top.usa-ma.html;;;
65;[35];Rafael La Porta National Bureau of Economic Research (NBER), Cambridge;/f/pla273.html;Rafael  La Porta;National Bureau of Economic Research (NBER);;66.71;http://ideas.repec.org/top/top.usa-ma.html;;;
66;[138];Marianne Baxter National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Boston University, Boston;/e/pba102.html;Marianne  Baxter;National Bureau of Economic Research (NBER);Department of Economics, Boston University;67.45;http://ideas.repec.org/top/top.usa-ma.html;;;
67;[146];Edward J. Kane Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill;/f/pka853.html;Edward J. Kane;Finance Department, Wallace E. Carroll School of Management, Boston College;;68.91;http://ideas.repec.org/top/top.usa-ma.html;;;
68;[157];Paul Joskow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pjo110.html;Paul  Joskow;Economics Department, Massachusetts Institute of Technology (MIT);;69.09;http://ideas.repec.org/top/top.usa-ma.html;;;
69;[56];Campbell R. Harvey National Bureau of Economic Research (NBER), Cambridge;/e/pha102.html;Campbell R. Harvey;National Bureau of Economic Research (NBER);;70.77;http://ideas.repec.org/top/top.usa-ma.html;;;
70;[193];William Kerr Harvard Business School, Harvard University, Cambridge;/e/pke127.html;William  Kerr;Harvard Business School, Harvard University;;70.78;http://ideas.repec.org/top/top.usa-ma.html;;;
71;[173];Neil Shephard Department of Economics, Harvard University, Cambridge;/e/psh10.html;Neil  Shephard;Department of Economics, Harvard University;;72.12;http://ideas.repec.org/top/top.usa-ma.html;;;
72;[166];Emmanuel Farhi National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/f/pfa207.html;Emmanuel  Farhi;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;72.89;http://ideas.repec.org/top/top.usa-ma.html;;;
73;[183];Ricardo Hausmann Center for International Development, Kennedy School of Government, Harvard University, Cambridge;/f/pha552.html;Ricardo  Hausmann;Center for International Development, Kennedy School of Government, Harvard University;;73.46;http://ideas.repec.org/top/top.usa-ma.html;;;
74;[176];Peter N. Ireland National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Boston College, Chestnut Hill;/e/pir1.html;Peter N. Ireland;National Bureau of Economic Research (NBER);Department of Economics, Boston College;73.74;http://ideas.repec.org/top/top.usa-ma.html;;;
75;[175];Roberto Rigobon National Bureau of Economic Research (NBER), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/pri12.html;Roberto  Rigobon;National Bureau of Economic Research (NBER);Sloan School of Management, Massachusetts Institute of Technology (MIT);75.42;http://ideas.repec.org/top/top.usa-ma.html;;;
76;[59];Eric S. Maskin Department of Economics, Harvard University, Cambridge;/f/pma498.html;Eric S. Maskin;Department of Economics, Harvard University;;76.18;http://ideas.repec.org/top/top.usa-ma.html;;;
77;[185];Raymond Fisman Bureau for Research in Economic Analysis of Development (BREAD), Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Boston University, Boston;/f/pfi257.html;Raymond  Fisman;Bureau for Research in Economic Analysis of Development (BREAD), Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);76.33;http://ideas.repec.org/top/top.usa-ma.html;Department of Economics, Boston University;;
78;[147];Stephen Cecchetti National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, International Business School, Brandeis University, Waltham;/e/pce4.html;Stephen  Cecchetti;National Bureau of Economic Research (NBER);Department of Economics, International Business School, Brandeis University;78.6;http://ideas.repec.org/top/top.usa-ma.html;;;
79;[184];Alberto Abadie Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pab7.html;Alberto  Abadie;Economics Department, Massachusetts Institute of Technology (MIT);;80.69;http://ideas.repec.org/top/top.usa-ma.html;;;
80;[209];David Bloom Department of Global Health and Population, Harvard School of Public Health, Harvard University, Cambridge;/e/pbl79.html;David  Bloom;Department of Global Health and Population, Harvard School of Public Health, Harvard University;;81.21;http://ideas.repec.org/top/top.usa-ma.html;;;
81;[178];Pol Antras Department of Economics, Harvard University, Cambridge;/e/pan181.html;Pol  Antras;Department of Economics, Harvard University;;81.27;http://ideas.repec.org/top/top.usa-ma.html;;;
82;[199];Nathan Nunn National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Harvard University, Cambridge;/e/pnu17.html;Nathan  Nunn;National Bureau of Economic Research (NBER);Department of Economics, Harvard University;81.54;http://ideas.repec.org/top/top.usa-ma.html;;;
83;[192];Robert Norman Stavins Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/e/pst167.html;Robert Norman Stavins;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);82.75;http://ideas.repec.org/top/top.usa-ma.html;;;
84;[65];David Romer National Bureau of Economic Research (NBER), Cambridge;/f/pro406.html;David  Romer;National Bureau of Economic Research (NBER);;82.85;http://ideas.repec.org/top/top.usa-ma.html;;;
85;[180];Michael Whinston Economics Department, Massachusetts Institute of Technology (MIT), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/pwh46.html;Michael  Whinston;Economics Department, Massachusetts Institute of Technology (MIT);Sloan School of Management, Massachusetts Institute of Technology (MIT);83.51;http://ideas.repec.org/top/top.usa-ma.html;;;
86;[206];Steven Shavell National Bureau of Economic Research (NBER), Cambridge;/e/psh42.html;Steven  Shavell;National Bureau of Economic Research (NBER);;84.02;http://ideas.repec.org/top/top.usa-ma.html;;;
87;[196];Susanto Basu National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Boston College, Chestnut Hill;/f/pba274.html;Susanto  Basu;National Bureau of Economic Research (NBER);Department of Economics, Boston College;84.08;http://ideas.repec.org/top/top.usa-ma.html;;;
88;[212];Rafael Di Tella Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard University, Cambridge;/e/pdi128.html;Rafael  Di Tella;Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard University;;86.58;http://ideas.repec.org/top/top.usa-ma.html;;;
89;[32];Martin Eichenbaum National Bureau of Economic Research (NBER), Cambridge;/e/pei4.html;Martin  Eichenbaum;National Bureau of Economic Research (NBER);;86.82;http://ideas.repec.org/top/top.usa-ma.html;;;
90;[220];Kenneth Neil Kuttner National Bureau of Economic Research (NBER), CambridgeEconomics Department, Williams College, Williamstown;/e/pku75.html;Kenneth Neil Kuttner;National Bureau of Economic Research (NBER);Economics Department, Williams College;88.06;http://ideas.repec.org/top/top.usa-ma.html;;;
91;[219];George-Marios Angeletos Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pan143.html;George-Marios  Angeletos;Economics Department, Massachusetts Institute of Technology (MIT);;88.16;http://ideas.repec.org/top/top.usa-ma.html;;;
92;[211];Jonathan A. Parker National Bureau of Economic Research (NBER), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/ppa21.html;Jonathan A. Parker;National Bureau of Economic Research (NBER);Sloan School of Management, Massachusetts Institute of Technology (MIT);90.93;http://ideas.repec.org/top/top.usa-ma.html;;;
93;[198];Kevin Lang Institute for Economic Development, Department of Economics, Boston University, BostonNational Bureau of Economic Research (NBER), CambridgeIndustry Studies Program (ISP), Department of Economics, Boston University, Boston;/e/pla83.html;Kevin  Lang;Institute for Economic Development, Department of Economics, Boston University;National Bureau of Economic Research (NBER);91.04;http://ideas.repec.org/top/top.usa-ma.html;Industry Studies Program (ISP), Department of Economics, Boston University;;
94;[215];Jerry Green Department of Economics, Harvard University, Cambridge;/f/pgr476.html;Jerry  Green;Department of Economics, Harvard University;;93.51;http://ideas.repec.org/top/top.usa-ma.html;;;
95;[227];Robert Gibbons Economics Department, Massachusetts Institute of Technology (MIT), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/f/pgi283.html;Robert  Gibbons;Economics Department, Massachusetts Institute of Technology (MIT);Sloan School of Management, Massachusetts Institute of Technology (MIT);93.69;http://ideas.repec.org/top/top.usa-ma.html;;;
96;[91];Robert M. Townsend Economics Department, Massachusetts Institute of Technology (MIT), Cambridge;/e/pto99.html;Robert M. Townsend;Economics Department, Massachusetts Institute of Technology (MIT);;94.58;http://ideas.repec.org/top/top.usa-ma.html;;;
97;[248];Yannis M. Ioannides Department of Economics, Tufts University, Medford;/e/pio6.html;Yannis M. Ioannides;Department of Economics, Tufts University;;94.83;http://ideas.repec.org/top/top.usa-ma.html;;;
98;[234];Brigitte C. Madrian Kennedy School of Government, Harvard University, CambridgeNational Bureau of Economic Research (NBER), Cambridge;/f/pma384.html;Brigitte C. Madrian;Kennedy School of Government, Harvard University;National Bureau of Economic Research (NBER);94.87;http://ideas.repec.org/top/top.usa-ma.html;;;
99;[249];Jeffrey C. Fuhrer Economic Research, Federal Reserve Bank of Boston, Boston;/e/pfu8.html;Jeffrey C. Fuhrer;Economic Research, Federal Reserve Bank of Boston;;95.58;http://ideas.repec.org/top/top.usa-ma.html;;;
100;[94];Raj Chetty National Bureau of Economic Research (NBER), Cambridge;/e/pch161.html;Raj  Chetty;National Bureau of Economic Research (NBER);;96.23;http://ideas.repec.org/top/top.usa-ma.html;;;
101;[253];Joseph P. Newhouse National Bureau of Economic Research (NBER), CambridgeMalcolm Wiener Center for Social Policy, Kennedy School of Government, Harvard University, CambridgeDepartment of Health Care Policy, Harvard Medical School, Harvard University, Cambridge;/e/pne27.html;Joseph P. Newhouse;National Bureau of Economic Research (NBER);Malcolm Wiener Center for Social Policy, Kennedy School of Government, Harvard University;100.97;http://ideas.repec.org/top/top.usa-ma.html;Department of Health Care Policy, Harvard Medical School, Harvard University;;
102;[246];Tayfun Sönmez Department of Economics, Boston College, Chestnut Hill;/e/psi57.html;Tayfun  Sönmez;Department of Economics, Boston College;;101.52;http://ideas.repec.org/top/top.usa-ma.html;;;
103;[251];Peter Gottschalk Department of Economics, Boston College, Chestnut Hill;/e/pgo34.html;Peter  Gottschalk;Department of Economics, Boston College;;102.35;http://ideas.repec.org/top/top.usa-ma.html;;;
104;[235];Owen A. Lamont Department of Economics, Harvard University, Cambridge;/f/pla600.html;Owen A. Lamont;Department of Economics, Harvard University;;103.13;http://ideas.repec.org/top/top.usa-ma.html;;;
105;[228];Antoinette Schoar National Bureau of Economic Research (NBER), CambridgeSloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge;/e/psc180.html;Antoinette  Schoar;National Bureau of Economic Research (NBER);Sloan School of Management, Massachusetts Institute of Technology (MIT);105.08;http://ideas.repec.org/top/top.usa-ma.html;;;
106;[265];Eric Rosengren Federal Reserve Bank of Boston, Boston;/e/pro88.html;Eric  Rosengren;Federal Reserve Bank of Boston;;105.57;http://ideas.repec.org/top/top.usa-ma.html;;;
107;[247];Jeffrey B. Liebman Kennedy School of Government, Harvard University, Cambridge;/e/pli184.html;Jeffrey B. Liebman;Kennedy School of Government, Harvard University;;107.56;http://ideas.repec.org/top/top.usa-ma.html;;;
108;[291];Gilbert Metcalf National Bureau of Economic Research (NBER), CambridgeDepartment of Economics, Tufts University, Medford;/e/pme66.html;Gilbert  Metcalf;National Bureau of Economic Research (NBER);Department of Economics, Tufts University;107.78;http://ideas.repec.org/top/top.usa-ma.html;;;
